id,dt_tm,lang,retweet,name,body,lat,lon
646872535729078272,Thu Sep 24 02:23:25 +0000 2015,en,0,DealsBasket,#Target Girl's #Frozen #ElsaSequin Deluxe #Costume #GirlsCostume #Halloween :  http://t.co/tWTNIo6meL http://t.co/3liTPiLyHJ,,
646872536332918784,Thu Sep 24 02:23:25 +0000 2015,en,1,patty_martinez5,RT @bitchgirlstweet: I JUST CAN'T CONTAIN MY EXCITEMENT FOR COLD WEATHER AND FALL AND HALLOWEEN AND CHRISTMAS AND ALL OF THE ABOVE AHH,,
646872538358935552,Thu Sep 24 02:23:26 +0000 2015,en,1,alexa_diemer99,RT @kp_kristina17: The only thing I like about Halloween are the Twitches movies and candy corn,,
646872538635628548,Thu Sep 24 02:23:26 +0000 2015,en,0,gomez_natalia7,so excited for halloween with @dorgann2 ❗️❗️🎃 http://t.co/DVk2q7bk0M,,
646872540590292992,Thu Sep 24 02:23:26 +0000 2015,en,1,amberkennisonn,RT @maxkimmel: A hoes favorite Halloween costume is a bunny or a cat,,
646872540128915456,Thu Sep 24 02:23:26 +0000 2015,en,0,LWTALMlGHTY,things I SHOULD be for Halloween http://t.co/nP96gE5J2I,,
646872541827457024,Thu Sep 24 02:23:26 +0000 2015,en,1,kaylaa_11,RT @sexualgifs_: halloween town and chill? http://t.co/Dq1dHBUznp,,
646872542146351104,Thu Sep 24 02:23:27 +0000 2015,en,0,HuntDaws,@AlimugungaKTA @TaylorHandbag HALLOWEEN GRAHHHH GRAHHHH,,
646872541189902336,Thu Sep 24 02:23:26 +0000 2015,en,1,mayana_ng,RT @CraziestSex: Halloween movies n chill,,
646872543253635072,Thu Sep 24 02:23:27 +0000 2015,en,0,MirmirManiac,I wanna be an 👽 for Halloween,,
646872544704917504,Thu Sep 24 02:23:27 +0000 2015,en,1,mctighe_kate,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872545103249408,Thu Sep 24 02:23:27 +0000 2015,en,1,haileesladee,RT @abbeylynn97: @haileesladee but they're the best things EVER.. Halloween will never be the same,,
646872545778601984,Thu Sep 24 02:23:27 +0000 2015,en,1,nic0leschwartz,RT @The2019Seniors: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mond…,,
646872546265034752,Thu Sep 24 02:23:27 +0000 2015,en,1,thatrue_king,RT @CraziestSex: Halloween movies n chill,,
646872546646859776,Thu Sep 24 02:23:28 +0000 2015,en,1,simeyonj14,RT @SexualGif: Halloween movies n chill,,
646872548760797184,Thu Sep 24 02:23:28 +0000 2015,en,1,Causeimtye,RT @TeeHefner_: I Hope Some Good Movies Come Out Around Halloween 😩,,
646872548974571520,Thu Sep 24 02:23:28 +0000 2015,en,1,BashKingz,RT @d_twenty1: Hit up @BashKingz for tickets to a sick Halloween Bash!!!! http://t.co/C3ElQ2N4JB,,
646872551411593217,Thu Sep 24 02:23:29 +0000 2015,en,1,psychotic_mua,RT @ChiIIVlbes: Halloween movies; coffee &amp; chill?,,
646872553563230209,Thu Sep 24 02:23:29 +0000 2015,en,1,gianaaaac,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646872555001901057,Thu Sep 24 02:23:30 +0000 2015,en,0,KV0,Zombie Halloween Pavlova http://t.co/jlDIOoxL02,,
646872560362127360,Thu Sep 24 02:23:31 +0000 2015,en,1,heartoutorion,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872563189157889,Thu Sep 24 02:23:32 +0000 2015,en,1,skwilly27,RT @KidsOf17: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays to…,,
646872563755429888,Thu Sep 24 02:23:32 +0000 2015,en,1,laurenbutia,RT @septicals: august; september; halloween; thanksgiving; christmas,,
646872565609332736,Thu Sep 24 02:23:32 +0000 2015,en,1,DrinaIsabelleVi,RT @CoIIegeBound: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646872566636777472,Thu Sep 24 02:23:32 +0000 2015,en,1,lyssrich246,RT @CaityMcKee: Only my family puts up Halloween decorations in the middle of September 😂,,
646872568633421824,Thu Sep 24 02:23:33 +0000 2015,en,1,Kelley_Stokes,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646872568134270980,Thu Sep 24 02:23:33 +0000 2015,en,0,byHoRRoR,brokehorrorfan : Celebrate 30 years of Garfield’s Halloween Adventure with 4 new frightrag… http://t.co/huP5t6HVBj) http://t.co/SV0uyqS7LH,,
646872568863920128,Thu Sep 24 02:23:33 +0000 2015,en,1,genoveyad,RT @heysarahemm: I wanna go to a fun Halloween party this year and horror nights 🎃,,
646872569321291776,Thu Sep 24 02:23:33 +0000 2015,en,0,Horanadeals,Clothing &amp; Beauty &gt; http://t.co/Zl9tW67184 #81 Vampire Costumes for Women Sexy Adult Halloween Fancy Dress http://t.co/IvZerERuU6,,
646872570323533824,Thu Sep 24 02:23:33 +0000 2015,en,1,xoxobecca_,RT @babbyemm_: I wanna go to Halloween Horror Nights at Universal,,
646872570659241984,Thu Sep 24 02:23:33 +0000 2015,en,1,MaddieMarieB,RT @kurtis_conner: YO IT SMELLS LIKE HALLOWEEN OUTSIDE AND I AM SO FUCKING OKAY WITH IT,,
646872570927689728,Thu Sep 24 02:23:33 +0000 2015,en,1,knuckIepunks,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872572907401217,Thu Sep 24 02:23:34 +0000 2015,en,1,markmillerb5,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646872572798369792,Thu Sep 24 02:23:34 +0000 2015,en,0,zombierot,@YareYareZawa from what I've read they're villain recruiters for Halloween. My favorite is Scar chan;;;,,
646872575113625600,Thu Sep 24 02:23:34 +0000 2015,en,0,Mikayla_Kelsey,@andrew_o14 Halloween 😍,,
646872574291382272,Thu Sep 24 02:23:34 +0000 2015,en,1,psoahmb,RT @coded4d9dc: [Fanacc] 150923 LAUGHx3 event in BIG CAT; Osaka: Halloween cosplay? 😂  Cr. miki_got7 http://t.co/9Lq6Vgz6Tc,,
646872575990210560,Thu Sep 24 02:23:35 +0000 2015,en,1,jaderade2016,RT @KidsOf16: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays to…,,
646872576304762880,Thu Sep 24 02:23:35 +0000 2015,en,0,SpartanHarsh,Halloween costume ideas:   John Cena or Turnt Alien?? #asktwitter,,
646872576581595136,Thu Sep 24 02:23:35 +0000 2015,en,1,kelsma96,RT @sexualgifs_: halloween town and chill? http://t.co/Dq1dHBUznp,,
646872576489160706,Thu Sep 24 02:23:35 +0000 2015,en,1,5SAUCElover12,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872577047138304,Thu Sep 24 02:23:35 +0000 2015,en,1,haileyjoyce5,RT @ChiIIVlbes: Halloween movies; coffee &amp; chill?,,
646872576698941440,Thu Sep 24 02:23:35 +0000 2015,en,1,knockknockg,RT @The1RONN: Come out and support this great cause!  https://t.co/MbueobfGSZ,,
646872576988454912,Thu Sep 24 02:23:35 +0000 2015,en,1,kit_ty05,RT @WhennBoys: Halloween movies n chill,,
646872577768574980,Thu Sep 24 02:23:35 +0000 2015,en,0,kirkajoseph,finally watching one of my favorite movies. Halloween!!! (2007) the remake. its so good tbh. Rob zombie always does a great job w his movies,,
646872578200633344,Thu Sep 24 02:23:35 +0000 2015,en,1,Amber_Litviak,RT @lnsaneTweets: reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO HELL…,,
646872579890769920,Thu Sep 24 02:23:36 +0000 2015,en,1,da_kymaster,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872580876554240,Thu Sep 24 02:23:36 +0000 2015,en,1,dienhart27,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646872581992239104,Thu Sep 24 02:23:36 +0000 2015,en,0,kristanoguchi,Got Jack a Halloween costume. He's an airplane. He also told me today that Dr. Pepper is the shizz. What's everyone doing for Halloween?,,
646872582457700352,Thu Sep 24 02:23:36 +0000 2015,en,0,The_KendallRae,I feel like Donald Trump will be the most popular halloween costume this year.,,
646872584462712832,Thu Sep 24 02:23:37 +0000 2015,en,1,LoAshbrook,RT @mollysoda: for halloween im gonna hide in a dumpster and tell people im the grinch when i actually mean oscar the grouch,,
646872585599361025,Thu Sep 24 02:23:37 +0000 2015,en,1,ChantellQMorena,RT @HipHopxHotspot: Put one of these at your door on Halloween &amp; you won't have to worry about giving nobody candy http://t.co/MPEHZyn1g5,,
646872586933137409,Thu Sep 24 02:23:37 +0000 2015,en,0,unauthored,I hope my mom bought my tickets for Virginia bc I don't wanna be here bored out of my mind Halloween weekend,,
646872590561120256,Thu Sep 24 02:23:38 +0000 2015,en,0,vitchplease,@haileyoc_ he won't be at school on Halloween but we will have to hang out with him!!,,
646872590879952896,Thu Sep 24 02:23:38 +0000 2015,en,0,ErikaaLauren,Every store has Halloween stuff out now I'm like what the hell am I gonna be for a costume tbh that's stressful,,
646872591349739520,Thu Sep 24 02:23:38 +0000 2015,en,1,_sydneyfarrell_,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646872591400103936,Thu Sep 24 02:23:38 +0000 2015,en,0,kaylsterrr_x,One night soon I want to make cookies and mad food and watch halloween movies all night whos down,,
646872591538323457,Thu Sep 24 02:23:38 +0000 2015,en,1,ELoouise,RT @thestevepatrick: my soul is orange and black for halloween .,,
646872591676870656,Thu Sep 24 02:23:38 +0000 2015,en,1,__TXO,RT @SexualGif: Halloween movies n chill,,
646872592427540481,Thu Sep 24 02:23:39 +0000 2015,en,1,sherryblisss,RT @CIothesPorn: august; september; halloween; thanksgiving; christmas,,
646872593463513088,Thu Sep 24 02:23:39 +0000 2015,en,1,KaelaTyler,RT @FreddyAmazin: august; september; halloween; thanksgiving; christmas tbh,,
646872593652391936,Thu Sep 24 02:23:39 +0000 2015,en,0,24AlliChristine,Watching Beetlejuice and eating Halloween candy...yeah I'm ready for October 🎃🍬,,
646872594440945664,Thu Sep 24 02:23:39 +0000 2015,en,0,ECUSeaGal,I'm just ready for Halloween movies to be on TV everyday,,
646872594591973376,Thu Sep 24 02:23:39 +0000 2015,en,1,casey_benedict,RT @WhennBoys: I'm having Halloween party but everyone has to dress up as cops.When it gets busted we'll be like; it's all good fam we got …,,
646872593832632320,Thu Sep 24 02:23:39 +0000 2015,en,0,Mredrnxlsslyts,I wanna be at Disneyland this year for Halloween again😭🍂🎃 http://t.co/FKD4iBHz9t,,
646872595661373441,Thu Sep 24 02:23:39 +0000 2015,en,0,DennisSinneD,Holy S. I like Halloween but F these decorations. I would not keep these in my house. http://t.co/Jx9xaRzCjj,,
646872598538752000,Thu Sep 24 02:23:40 +0000 2015,en,0,lowkeymarisa,DO YOU EVER JUST FEEL SO HAPPY BECAUSE ITS FINALLY FALL AND HOODIE SEASON AND HALLOWEEN IS GETTING CLOSER I CANT WAIT,,
646872599276883968,Thu Sep 24 02:23:40 +0000 2015,en,1,mariah_hubbartt,RT @bitchprblmz: Can't wait for when they start playing Halloween movies on tv 😍🍬🎃💚👻 http://t.co/RBBEHTNcOK,,
646872601499860996,Thu Sep 24 02:23:41 +0000 2015,en,1,Ellik_Ragland,RT @bigbootyprobs: I'm having Halloween party but everyone has to dress up as cops.When it gets busted we'll be like; it's all good fam we …,,
646872601860575233,Thu Sep 24 02:23:41 +0000 2015,en,1,d42012,RT @KardashianReact: Halloween movies n chill,,
646872602879897601,Thu Sep 24 02:23:41 +0000 2015,en,1,Llzzzard,RT @CraziestSex: Halloween movies n chill,,
646872604175900672,Thu Sep 24 02:23:41 +0000 2015,en,0,Coffman_Shayla,Decided on being Winnie the Pooh for Halloween #SlutFree,,
