id,dt_tm,lang,retweet,name,body,lat,lon
646871462800965633,Thu Sep 24 02:19:09 +0000 2015,en,1,My_Eyes_Red,RT @MaggieLindemann: she's embarrassed that she has to be a football player for Halloween http://t.co/YrULICnpUk,,
646871464105263105,Thu Sep 24 02:19:09 +0000 2015,en,0,asmith28152,We are the kings and the queens of the Halloween scene; and we're all right through! #FallSongs #ShesKindaHot @5sos @jimmyfallon,,
646871464508030976,Thu Sep 24 02:19:10 +0000 2015,en,1,BeckyLynn_23,RT @WhennBoys: august; september; halloween; thanksgiving; christmas,,
646871464830988288,Thu Sep 24 02:19:10 +0000 2015,en,1,jallegrezza18,RT @ChiIIVlbes: Halloween movies; coffee &amp; chill?,,
646871465082646528,Thu Sep 24 02:19:10 +0000 2015,en,1,SearsKallie,RT @sydneygurl20: who wants to hangout in pajamas and eat ice cream and watch Halloween movies ok sweet,,
646871466072403968,Thu Sep 24 02:19:10 +0000 2015,en,1,__NashP__,RT @Kmcenturff2: This will take place before Halloween . . . . . .  https://t.co/mjmrUR7hkk,,
646871467565666304,Thu Sep 24 02:19:10 +0000 2015,en,0,ClockovSusi,Women's Pink Halloween Cute &amp; Wicked Graphic T-Shirt Size S http://t.co/th0ROQTm4h http://t.co/ZEF0xcccl3,,
646871468681359360,Thu Sep 24 02:19:11 +0000 2015,en,1,immagoofygoobrr,RT @nicoledent15: There are 2 types of girls on Halloween...😂😂 http://t.co/mLo4EnQDoG,,
646871473227984896,Thu Sep 24 02:19:12 +0000 2015,en,0,actual_portagas,It's almost October and that means time for my favorite old Halloween Movies.,,
646871473097953281,Thu Sep 24 02:19:12 +0000 2015,en,0,ahkaty,HALLOWEEN IS COMING! Don't miss the chance of winning circle lenses for free. ^u^ Read more: http://t.co/LKfdpaMn4i https://t.co/xP2hmdpOHc,,
646871473626345473,Thu Sep 24 02:19:12 +0000 2015,en,1,xsidneyo_,RT @ThatKid_EloyDoe: halloween on a sat this year! yes turnt for sure,,
646871476507815938,Thu Sep 24 02:19:12 +0000 2015,en,1,UndefinedAmirah,RT @ViaaKekeTaylor: HALLOWEEN DAY 😎😎 #TurnUpppp http://t.co/ctJVO8rbWn,,
646871476335874048,Thu Sep 24 02:19:12 +0000 2015,en,1,maittrella12,RT @MaggieLindemann: she's embarrassed that she has to be a football player for Halloween http://t.co/YrULICnpUk,,
646871477418070020,Thu Sep 24 02:19:13 +0000 2015,en,0,ClockovSusi,PUMPKIN COSTUME*****3-6 MONTH****HALLOWEEN COSTUME**USED ONCE** http://t.co/Uo1WRbVPKy http://t.co/iJyBZ9xoQB,,
646871479620009984,Thu Sep 24 02:19:13 +0000 2015,en,0,Noeemi_xoxo,Halloween night ima watch scary movies all night and get fat 😋🎃🍂,,
646871481725546496,Thu Sep 24 02:19:14 +0000 2015,en,1,_PeaceSkies,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646871482505818112,Thu Sep 24 02:19:14 +0000 2015,en,1,ZaverDesigns,RT @monicatucker31: Pumpkin Decor #craftshout #epiconetsy #crafthour #handmade #shoppershour #pumpkin #Halloween2015 #homedecor https://t.c…,,
646871482887467012,Thu Sep 24 02:19:14 +0000 2015,en,1,nenengocampo,RT @homemadebyjen: Free #crochet pattern - Adorable Candy Corn Cuties Amigurumi!  See the pattern here: http://t.co/p90GUmsjKt #Halloween #…,,
646871483017367553,Thu Sep 24 02:19:14 +0000 2015,en,1,lindseynwarren,RT @allyseline: I love everything about fall; especially Halloween,,
646871482610487296,Thu Sep 24 02:19:14 +0000 2015,en,1,SpikedLeather,RT @TomsSnakes: You Still Don't Have a Mask for Halloween? Check out BLACK Hannibal Lecter Leather Mask Horror Halloween http://t.co/HYx9cH…,,
646871483290124288,Thu Sep 24 02:19:14 +0000 2015,en,1,BeinkeHannah,RT @RegalMovies: It's The Makeup Room with @itsbl0ndie! Learn how to get #SelenaGomez as #Mavis' gothic look in @HotelT! #Halloween https:/…,,
646871483277574146,Thu Sep 24 02:19:14 +0000 2015,en,0,ClockovSusi,Child Ariel wig - The little mermaid halloween http://t.co/WOD8tRvUbq http://t.co/N2JZtrjpNG,,
646871486729469952,Thu Sep 24 02:19:15 +0000 2015,en,1,anniemckinneyy,RT @allieeee_gator: Can we just skip to Halloween? 🎃🎃,,
646871488553971713,Thu Sep 24 02:19:15 +0000 2015,en,1,LaceyOstrye,RT @CoIIegeBound: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646871488759492609,Thu Sep 24 02:19:15 +0000 2015,en,0,ClockovSusi,Barney the Dinosaur Baby Bob Halloween Costume mask hat  http://t.co/VctI9rYcJD http://t.co/BUVwmzGePh,,
646871491255103488,Thu Sep 24 02:19:16 +0000 2015,en,1,b4conators,RT @hayleycrowderr: pumped for Halloween,,
646871490802139136,Thu Sep 24 02:19:16 +0000 2015,en,0,monteclaudiano1,Halloween 50 Piece Creepy Creature Party Favors Decoration Spider Bat Skeleton ( http://t.co/da5eafl6J3 http://t.co/K1Z16vINlV,,
646871493578739712,Thu Sep 24 02:19:17 +0000 2015,en,0,ClockovSusi,JAKE from STATE FARM * Name Tag * Halloween BADGE! RED! http://t.co/6lWNUgyi8O http://t.co/XD6xDYL3g5,,
646871494178533376,Thu Sep 24 02:19:17 +0000 2015,en,0,nikkismythee,figuring out a date for halloween haunt that everyone can go to will be hell 🎃,,
646871495952592896,Thu Sep 24 02:19:17 +0000 2015,en,0,Gadgets2Cool,Halloween : Walking Dead Walker Chest Plate http://t.co/hy5ZcMcvsW,,
646871496955179008,Thu Sep 24 02:19:17 +0000 2015,en,0,ambiiies,@rissayingst I've had this planned since last Halloween ✋,,
646871499526287360,Thu Sep 24 02:19:18 +0000 2015,en,1,jasmine__henry,RT @CheerBook2: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646871501652692992,Thu Sep 24 02:19:18 +0000 2015,en,1,judypost,RT @DrewChial: A concerned demon weighs in on the War on #Halloween http://t.co/jWYqSfNs4Q #AmWriting #Satire,,
646871500402884608,Thu Sep 24 02:19:18 +0000 2015,en,0,FREAKYJPG,I have nothing to do on Halloween @Q100Atlanta you should hmu with them TNBS tickets.,,
646871500918784000,Thu Sep 24 02:19:18 +0000 2015,en,0,BriZucco,I want to watch Halloween movies,,
646871501610840064,Thu Sep 24 02:19:18 +0000 2015,en,0,ClockovSusi,Halloween Costume. Dracula. Any Size Fit. Adult. http://t.co/hUsF1O3UEL http://t.co/d3MwVBubDp,,
646871505121476609,Thu Sep 24 02:19:19 +0000 2015,en,1,Simply_Karessa,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646871506283307009,Thu Sep 24 02:19:20 +0000 2015,en,1,_RissaDood,RT @CraziestSex: Halloween movies n chill,,
646871506656600064,Thu Sep 24 02:19:20 +0000 2015,en,1,d_walll,RT @Porta_Jonalliss: 50 retweets by the end of the day and I grow the beard out and shave my head for Halloween to go as Tim Howard.,,
646871507864526848,Thu Sep 24 02:19:20 +0000 2015,en,1,Brittanytbowen,RT @theCheerBook: reasons why fall is #1: chilly weather  halloween  sweaters  pumpkins  literally everything  BUGS HAVE RETURNED TO HELL W…,,
646871507445096449,Thu Sep 24 02:19:20 +0000 2015,en,0,ClockovSusi,AnnLoren Little Girls 2/3T Boutique Black Cat Tunic &amp; Pants Halloween Clothes http://t.co/9sNjrrJki7 http://t.co/iPQn46680x,,
646871508242014209,Thu Sep 24 02:19:20 +0000 2015,en,1,dprax02,RT @WhennBoys: Halloween movies n chill,,
646871508715970560,Thu Sep 24 02:19:20 +0000 2015,en,1,noragibsonn,RT @CoIIegeBound: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646871509055606784,Thu Sep 24 02:19:20 +0000 2015,en,0,FlaminCatDesign,Just in time to order your custom Halloween party invitations. #blackCat #Halloween #party http://t.co/VufQ1YKePC,,
646871509898629120,Thu Sep 24 02:19:20 +0000 2015,en,1,korinichole13,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646871512205668353,Thu Sep 24 02:19:21 +0000 2015,en,0,ClockovSusi,AnnLoren Baby Girls 12-18 mo Boutique Halloween Kitty Pumpkin Chevron Clothes http://t.co/sQIZTNGaXm http://t.co/FbI7wyjPnS,,
646871514936147969,Thu Sep 24 02:19:22 +0000 2015,en,1,madiirelandd,RT @KardashianReact: Halloween movies n chill,,
646871515154264064,Thu Sep 24 02:19:22 +0000 2015,en,0,monteclaudiano1,Halloween Collection Treat R Treat Activity Bundle http://t.co/HsWRX9LX51 http://t.co/MTWqdVhUKX,,
646871516198649856,Thu Sep 24 02:19:22 +0000 2015,en,0,katiek485,@PrincessMorganS @Covblaze4eva aww yea. Hopefully Halloween is a nice cool day.,,
