id,dt_tm,lang,retweet,name,body,lat,lon
646865546315612160,Thu Sep 24 01:55:39 +0000 2015,en,1,Jelisiaperezz,RT @KardashianReact: Halloween movies n chill,,
646865548274438144,Thu Sep 24 01:55:39 +0000 2015,en,1,malia_quinn,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646865548295335936,Thu Sep 24 01:55:39 +0000 2015,en,0,greengirl6773,I just entered to #win Limited Edition Halloween Fruit Snacks from @Welchsfruitsnck! http://t.co/pYthBq4MqF http://t.co/aaA6CLbtGI,,
646865548509220864,Thu Sep 24 01:55:39 +0000 2015,en,0,UncleMuscles1,All that I'm listening to this Halloween are Waka Flocka Myers mixtapes,,
646865549142663172,Thu Sep 24 01:55:39 +0000 2015,en,1,NinaTurnt,RT @xosnbxo_: I can't wait to go to Halloween horror nights 😫😭,,
646865549528535040,Thu Sep 24 01:55:39 +0000 2015,en,1,Abbskeet14,RT @ZacharyZachry: Iso: A cute girl to do fun Fall/Halloween stuff with.,,
646865550824501248,Thu Sep 24 01:55:40 +0000 2015,en,1,radjjaz,RT @Gabby_Love18: HALLOWEEN!! HALLOWEEN!! 😍😈🎃💀👻 https://t.co/g0fVbA4xsL,,
646865552040927232,Thu Sep 24 01:55:40 +0000 2015,en,0,RokaDealz,#611 Pirate Costume for Women Adult Wench Halloween Fancy Dresshttp://rover.ebay.com/rover/1/711-53200-19255-0/1?ff… http://t.co/IYJn2dGtes,,
646865555362705409,Thu Sep 24 01:55:41 +0000 2015,en,1,ryyebreadddd,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646865555647954944,Thu Sep 24 01:55:41 +0000 2015,en,1,yahgirlalissa,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646865557132697601,Thu Sep 24 01:55:41 +0000 2015,en,1,MemeChild69,RT @Things4WhitePpl: Getting ready for Halloween https://t.co/xnqRskwpYU,,
646865557883490304,Thu Sep 24 01:55:41 +0000 2015,en,1,HIPFineArt,RT @1AshleyLaurence: Best #Halloween photo ever!!! #horror http://t.co/imVncD3iYx,,
646865558789603328,Thu Sep 24 01:55:42 +0000 2015,en,1,RoseAlisusan123,RT @bitchgirlstweet: I JUST CAN'T CONTAIN MY EXCITEMENT FOR COLD WEATHER AND FALL AND HALLOWEEN AND CHRISTMAS AND ALL OF THE ABOVE AHH,,
646865559980740608,Thu Sep 24 01:55:42 +0000 2015,en,1,MorganLorentz,RT @GirlfriendNotes: I JUST CAN'T CONTAIN MY EXCITEMENT FOR COLD WEATHER AND FALL AND HALLOWEEN AND CHRISTMAS AND ALL OF THE ABOVE AHHHHH,,
646865559762563072,Thu Sep 24 01:55:42 +0000 2015,en,0,DerpaTheSherpa,@DcNoVa1013 ha ha well if I don't get to 1000 I'll do the giveaway on Halloween and there's only like 24 entries that count so yeah,,
646865561327136768,Thu Sep 24 01:55:42 +0000 2015,en,1,martincarbaugh,RT @ChesterCheetah: Check out the first of my Ghostery Store pranks featuring Cheetos Bag of Bones—back again this Halloween. https://t.co/…,,
