id,dt_tm,lang,retweet,name,body,lat,lon
646868040756367360,Thu Sep 24 02:05:33 +0000 2015,en,0,JimPezzullo,Buckle up America you've got a full month of Halloween complaints coming your way,,
646868041087651840,Thu Sep 24 02:05:33 +0000 2015,en,1,gjazz0,RT @KardashianReact: Halloween movies n chill,,
646868040592723969,Thu Sep 24 02:05:33 +0000 2015,en,0,PolarMETHOD,My spooky new helmet! Thanks @Daybreakgames! #Halloween in @Planetside2 http://t.co/eHGszRdCiA,,
646868043784671233,Thu Sep 24 02:05:34 +0000 2015,en,1,CaitieKuhns,RT @TheTumblrPosts: august; september; halloween; thanksgiving; christmas tbh,,
646868045315465216,Thu Sep 24 02:05:34 +0000 2015,en,0,ilianabbe,When you finally realize your mom dressed you up as a prostitute &amp; not a witch for Halloween that one year😳💀😂 http://t.co/ie2ahvMfQt,,
646868047068696576,Thu Sep 24 02:05:35 +0000 2015,en,1,nini_k_reina,RT @laurenxwaites: So who wants to be my date to homecoming and all Halloween themed events???,,
646868047903522816,Thu Sep 24 02:05:35 +0000 2015,en,1,EmaniTunstall,RT @KidsOf17: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays to…,,
646868049887408128,Thu Sep 24 02:05:35 +0000 2015,en,1,Mandy_Chaos4,RT @Jamie_Carroll12: All I wanna do is watch scary movies for Halloween but then I realize I'm in one its called school,,
646868050109579265,Thu Sep 24 02:05:36 +0000 2015,en,1,NaturallyBltch,RT @iamharout: Halloween movies n chill,,
646868050235535360,Thu Sep 24 02:05:36 +0000 2015,en,1,NibiruD,RT @MensHumor: Somebody make this happen for Halloween http://t.co/7ZqHyWQD53,,
646868050189271040,Thu Sep 24 02:05:36 +0000 2015,en,1,fajardoalishaa_,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868051082780673,Thu Sep 24 02:05:36 +0000 2015,en,1,SparklewlthSass,RT @iamharout: Halloween movies n chill,,
646868051565133824,Thu Sep 24 02:05:36 +0000 2015,en,1,emmalicious722,RT @theCheerBook: reasons why fall is #1: chilly weather  halloween  sweaters  pumpkins  literally everything  BUGS HAVE RETURNED TO HELL W…,,
646868053377064961,Thu Sep 24 02:05:36 +0000 2015,en,1,4ustenTurman,RT @iamharout: Halloween movies n chill,,
646868055331483648,Thu Sep 24 02:05:37 +0000 2015,en,0,ashchey0820,13 Halloween Costume Tutorials | http://t.co/UpxZYsukMt http://t.co/D4N1WBUyUF,,
646868058020126720,Thu Sep 24 02:05:37 +0000 2015,en,1,ashydawson,RT @Lanahay11: I say either we do purge or surfers for Halloween,,
646868058074550272,Thu Sep 24 02:05:37 +0000 2015,en,0,clary08,This is Halloween; this is Halloween 🎶🎃🎃🎃🎃,,
646868058946965504,Thu Sep 24 02:05:38 +0000 2015,en,1,jakelloyd6005,RT @iamharout: Halloween movies n chill,,
646868060364603392,Thu Sep 24 02:05:38 +0000 2015,en,1,ginaamaarie21,RT @valeriaaa30_: Im so excited for Halloween this year and i dont even know what im doing yet,,
646868061287522305,Thu Sep 24 02:05:38 +0000 2015,en,0,pipermae812,Overheard: me: 🎃🎃🎃 it's almost halloween 🎃🎃🎃 people around me: halloween is the end of october not the... http://t.co/y2KAuLYisx,,
646868062398980098,Thu Sep 24 02:05:38 +0000 2015,en,1,KayiaDStevens,RT @iamharout: Halloween movies n chill,,
646868062512123904,Thu Sep 24 02:05:38 +0000 2015,en,1,Ashley_Renee21,RT @MensHumor: Somebody make this happen for Halloween http://t.co/7ZqHyWQD53,,
646868063132913664,Thu Sep 24 02:05:39 +0000 2015,en,1,babylove977,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868065724985344,Thu Sep 24 02:05:39 +0000 2015,en,1,Oplivv,RT @sobhanalail: Oomf lets goooo  https://t.co/fkXPikvHTk,,
646868068572921856,Thu Sep 24 02:05:40 +0000 2015,en,1,bcraffey92,RT @iamharout: Halloween movies n chill,,
646868069005029376,Thu Sep 24 02:05:40 +0000 2015,en,0,mxdisonyoung,I know I'm not the only person who doesn't actually like the Halloween town movies??,,
646868070301069312,Thu Sep 24 02:05:40 +0000 2015,en,1,JustDelaneyy,RT @bigbootyprobs: I'm having Halloween party but everyone has to dress up as cops.When it gets busted we'll be like; it's all good fam we …,,
646868071416643585,Thu Sep 24 02:05:41 +0000 2015,en,1,JavierSaldana15,RT @CraziestSex: Halloween movies n chill,,
646868072570089472,Thu Sep 24 02:05:41 +0000 2015,en,1,_shewayout_,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868074948362240,Thu Sep 24 02:05:41 +0000 2015,en,0,shermie40,RT The Popcorn Factory Fright Night Giveaway 3-Winners Cont USA/18+ Ends 10/15 @BillElliott2006 http://t.co/mZNa9GGvrH,,
646868074956746752,Thu Sep 24 02:05:41 +0000 2015,en,0,simplystacienet,HOW TO HOLD A HALLOWEEN COSTUME SWAP PARTY  Want to save money on costumes?  Here is a fantastic solution! http://t.co/zQgLAT7oYT,,
646868075128598528,Thu Sep 24 02:05:41 +0000 2015,en,1,ElNinoAngel,RT @MensHumor: Somebody make this happen for Halloween http://t.co/7ZqHyWQD53,,
646868077779529728,Thu Sep 24 02:05:42 +0000 2015,en,1,nikkisam12,RT @MensHumor: Somebody make this happen for Halloween http://t.co/7ZqHyWQD53,,
646868078060400641,Thu Sep 24 02:05:42 +0000 2015,en,1,elenaphanttt,RT @sanbrck: Because Halloween is just around the corner; a quick reminder: http://t.co/TLkXXUxnxx,,
646868078274461697,Thu Sep 24 02:05:42 +0000 2015,en,1,RyR3nTV,RT @iamharout: Halloween movies n chill,,
646868078958149636,Thu Sep 24 02:05:42 +0000 2015,en,1,jarahdacons,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868079343964160,Thu Sep 24 02:05:43 +0000 2015,en,1,eat0ffspoon,RT @iamharout: Halloween movies n chill,,
646868080581341186,Thu Sep 24 02:05:43 +0000 2015,en,1,aiyson_jaye,RT @iamharout: Halloween movies n chill,,
646868080979673089,Thu Sep 24 02:05:43 +0000 2015,en,0,jespi1_,Halloween it's going to be good this year,,
646868081545900032,Thu Sep 24 02:05:43 +0000 2015,en,1,sugarandcookie,RT @coded4d9dc: [Fanacc] 150923 LAUGHx3 event in BIG CAT; Osaka: Halloween cosplay? 😂  Cr. miki_got7 http://t.co/9Lq6Vgz6Tc,,
646868082510725122,Thu Sep 24 02:05:43 +0000 2015,en,1,_veryunique18_,RT @iamharout: Halloween movies n chill,,
646868082615545857,Thu Sep 24 02:05:43 +0000 2015,en,0,taysierra99,Someone plz have a Halloween party and invite me 💛💛,,
646868083278110720,Thu Sep 24 02:05:43 +0000 2015,en,1,Queen__Abs,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868084242935808,Thu Sep 24 02:05:44 +0000 2015,en,1,zang_michaela,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646868085039886336,Thu Sep 24 02:05:44 +0000 2015,en,1,JBmadelln,RT @iamharout: Halloween movies n chill,,
646868085564157952,Thu Sep 24 02:05:44 +0000 2015,en,1,katieadearing,RT @CraziestSex: Halloween movies n chill,,
646868085824221184,Thu Sep 24 02:05:44 +0000 2015,en,1,ansleypparker,RT @oSwerve: gwinnett fair ; homecoming ; netherworld ; halloween ; the weather &gt;&gt;&gt;,,
646868086516240385,Thu Sep 24 02:05:44 +0000 2015,en,0,JaisannaJarvis,Sweaters; lattes; halloween; and chill..?,,
646868086574878720,Thu Sep 24 02:05:44 +0000 2015,en,0,eriksarabia92,I'm trying to look good for my Halloween costume... I'm feeling pretty good so far :)))) http://t.co/hlwlF595Yh,,
646868088558878720,Thu Sep 24 02:05:45 +0000 2015,en,1,krholcombxoxo,RT @CraziestSex: Halloween movies n chill,,
646868088470786048,Thu Sep 24 02:05:45 +0000 2015,en,0,tupacaroni,Fall is my fav time of the year; bc my birthday; cold; halloween; did i mention my birthday,,
646868090010136576,Thu Sep 24 02:05:45 +0000 2015,en,0,kaarinax3_,Halloween party at my house 👼🏼 pretty excited,,
646868090769252352,Thu Sep 24 02:05:45 +0000 2015,en,1,zzoerrose,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646868091733983232,Thu Sep 24 02:05:45 +0000 2015,en,1,toridella,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868092228890624,Thu Sep 24 02:05:46 +0000 2015,en,1,_LillySilvaa13_,RT @AthinaTheGreek: This Halloween be like http://t.co/g22tNzjfpK,,
