id,dt_tm,lang,retweet,name,body,lat,lon
646868137607086081,Thu Sep 24 02:05:56 +0000 2015,en,1,juliasousa_xo,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646868139070717953,Thu Sep 24 02:05:57 +0000 2015,en,0,huntermize__,@onlinecait disney use to show it on there all week of halloween; pretty good movies ngl,,
646868138991177730,Thu Sep 24 02:05:57 +0000 2015,en,0,_debandradee,Can someone please throw a big Halloween party,,
646868139553132544,Thu Sep 24 02:05:57 +0000 2015,en,1,jollycutie122,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868141004431360,Thu Sep 24 02:05:57 +0000 2015,en,0,lowkeyJ_,friend goals  https://t.co/DeZfBYlCqz,,
646868144615759872,Thu Sep 24 02:05:58 +0000 2015,en,1,abbierock11,RT @The2019Seniors: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mond…,,
646868146024898560,Thu Sep 24 02:05:58 +0000 2015,en,1,LaraEmilee,RT @KidsOf16: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays to…,,
646868146545139712,Thu Sep 24 02:05:59 +0000 2015,en,1,Maddy_finkney,RT @septicals: august; september; halloween; thanksgiving; christmas,,
646868149921546240,Thu Sep 24 02:05:59 +0000 2015,en,1,kenz_clancy,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868153364975617,Thu Sep 24 02:06:00 +0000 2015,en,0,YoubidderChris,Ebay Snipe RT↺ http://t.co/bKxM31SPTg Day Of The Dead  Catrina Costume Tattoos Sugar Skulls  Halloween ↺Please Favorite &amp; Share,,
646868153453051904,Thu Sep 24 02:06:00 +0000 2015,en,1,tan1nu,RT @JordynTaylorNow: I guess I just don't care about Halloween anymore or something?! 😫😫 need to find an NYC makeup artist to transform thi…,,
646868155264970752,Thu Sep 24 02:06:01 +0000 2015,en,1,kaylasue992,RT @FemaleTexts: Halloween movies n chill,,
646868155931996164,Thu Sep 24 02:06:01 +0000 2015,en,1,sashaaa_xoxo,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868156443676672,Thu Sep 24 02:06:01 +0000 2015,en,1,sosifjdhsbdb,RT @_yaraaa_: Halloween movies n chill,,
646868157106405376,Thu Sep 24 02:06:01 +0000 2015,en,0,AustinAxford117,So pumped for fall; hoodie weather; leaves changing color; and everything Halloween 🍁🎃,,
646868157400002560,Thu Sep 24 02:06:01 +0000 2015,en,1,HannahFestog,RT @KidsOf2018: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays …,,
646868159203569665,Thu Sep 24 02:06:02 +0000 2015,en,1,mariamendoo,RT @tayymorriss: I just wanna watch Halloween town already,,
646868159673204736,Thu Sep 24 02:06:02 +0000 2015,en,1,milkytits38,RT @KidsOf16: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mondays to…,,
646868160805781504,Thu Sep 24 02:06:02 +0000 2015,en,0,tiizzzy,idk what to be this year for Halloween. hard to top last years Anne Frank. gimme ideas.,,
646868163691319296,Thu Sep 24 02:06:03 +0000 2015,en,1,desi0hens,RT @valeriaaa30_: Im so excited for Halloween this year and i dont even know what im doing yet,,
646868164068962304,Thu Sep 24 02:06:03 +0000 2015,en,1,OxMehhiveexO,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646868163984945152,Thu Sep 24 02:06:03 +0000 2015,en,1,youngtrill420,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868164744118273,Thu Sep 24 02:06:03 +0000 2015,en,1,bowchickawhoa,RT @CraziestSex: Halloween movies n chill,,
646868166350622720,Thu Sep 24 02:06:03 +0000 2015,en,1,Kenzie_Riese,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868166841380864,Thu Sep 24 02:06:03 +0000 2015,en,0,Meowcifer4,Custom Halloween Order :).   #halloween #jackolantern #pumpkins #chunkynecklace #childrensjewelry… https://t.co/RWDUTwTCyF,,
646868168032538625,Thu Sep 24 02:06:04 +0000 2015,en,1,Adam_Miller3,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646868169605316608,Thu Sep 24 02:06:04 +0000 2015,en,0,just1morecoupon,NEW SPIRIT HALLOWEEN PRINTABLE COUPONS! http://t.co/QuKmijclpj,,
646868171165708288,Thu Sep 24 02:06:04 +0000 2015,en,0,MJBrightbill,Scream Queens put me in the mood for fall and Halloween stuff I'm so excited for Tuesday nights now I even get an episode on my birthday!!!,,
646868173690699776,Thu Sep 24 02:06:05 +0000 2015,en,1,Spangaloo,RT @Micheal_Rivers: 31 Authors ► Ganging up to bring you the best Halloween of your lives!!! http://t.co/32VrbSWgUT #Horror #ASMSG http://t…,,
646868174697299970,Thu Sep 24 02:06:05 +0000 2015,en,0,CatXoCo,@ArianaGrande diving into Halloween early like always,,
